type,model,origin,destination,distance,duration
bus,corridor,17:16,12:13,500.16,36.5
bus,corridor,17:16,14:15,420.92,31.6
bus,corridor,17:16,18:19,288.1,20.8
bus,corridor,17:16,4:6,607.96,44.3
bus,corridor,17:16,5:7,280.3,20.3
bus,corridor,17:16,8:9,599.65,44.3
bus,corridor,19:18,10:11,597.5,43.1
bus,corridor,19:18,12:13,497.5,35.9
bus,corridor,19:18,14:15,418.26,31.0
bus,corridor,19:18,16:17,288.1,20.8
bus,corridor,19:18,4:6,605.3,43.7
bus,corridor,19:18,5:7,282.96,20.8
bus,corridor,19:18,8:9,596.99,43.7
bus,corridor,6:4,10:11,279.79,20.8
bus,corridor,6:4,12:13,376.06,27.9
bus,corridor,6:4,14:15,455.3,32.9
bus,corridor,6:4,16:17,605.3,43.7
bus,corridor,6:4,18:19,604.79,44.3
bus,corridor,6:4,5:7,613.1,44.3
bus,corridor,6:4,8:9,280.3,20.3
bus,corridor,7:5,10:11,605.3,43.7
bus,corridor,7:5,12:13,505.3,36.5
bus,corridor,7:5,14:15,426.06,31.5
bus,corridor,7:5,16:17,279.79,20.8
bus,corridor,7:5,18:19,280.3,20.3
bus,corridor,7:5,4:6,613.1,44.3
bus,corridor,7:5,8:9,604.79,44.3
bus,corridor,9:8,10:11,288.1,20.8
bus,corridor,9:8,12:13,368.26,27.4
bus,corridor,9:8,14:15,447.5,32.3
bus,corridor,9:8,16:17,597.5,43.1
bus,corridor,9:8,18:19,596.99,43.7
bus,corridor,9:8,4:6,282.96,20.8
bus,corridor,9:8,5:7,605.3,43.7
lgv,corridor,11:10,12:13,376.42,28.4
lgv,corridor,11:10,14:15,455.66,33.4
lgv,corridor,11:10,16:17,605.66,44.2
lgv,corridor,11:10,18:19,605.15,44.8
lgv,corridor,11:10,4:6,285.8,20.7
lgv,corridor,11:10,5:7,613.46,44.8
lgv,corridor,11:10,8:9,293.6,21.3
lgv,corridor,13:12,10:11,377.13,27.3
lgv,corridor,13:12,14:15,361.09,26.1
lgv,corridor,13:12,16:17,511.09,37.0
lgv,corridor,13:12,18:19,510.58,37.6
lgv,corridor,13:12,4:6,384.93,27.9
lgv,corridor,13:12,5:7,518.89,37.5
lgv,corridor,13:12,8:9,376.62,27.9
lgv,corridor,15:14,10:11,461.09,33.4
lgv,corridor,15:14,12:13,361.09,26.1
lgv,corridor,15:14,16:17,427.13,30.9
lgv,corridor,15:14,18:19,426.62,31.5
lgv,corridor,15:14,4:6,468.89,33.9
lgv,corridor,15:14,5:7,434.93,31.5
lgv,corridor,15:14,8:9,460.58,33.9
lgv,corridor,17:16,10:11,605.66,44.2
lgv,corridor,17:16,12:13,505.66,37.0
lgv,corridor,17:16,14:15,426.42,32.0
lgv,corridor,17:16,18:19,293.6,21.3
lgv,corridor,17:16,4:6,613.46,44.8
lgv,corridor,17:16,5:7,285.8,20.7
lgv,corridor,17:16,8:9,605.15,44.8
lgv,corridor,19:18,10:11,603.0,43.6
lgv,corridor,19:18,12:13,503.0,36.4
lgv,corridor,19:18,14:15,423.76,31.4
lgv,corridor,19:18,16:17,293.6,21.3
lgv,corridor,19:18,4:6,610.8,44.2
lgv,corridor,19:18,5:7,288.46,21.3
lgv,corridor,19:18,8:9,602.49,44.2
lgv,corridor,6:4,10:11,285.29,21.3
lgv,corridor,6:4,12:13,381.56,28.4
lgv,corridor,6:4,14:15,460.8,33.3
lgv,corridor,6:4,16:17,610.8,44.2
lgv,corridor,6:4,18:19,610.29,44.8
lgv,corridor,6:4,5:7,618.6,44.7
lgv,corridor,6:4,8:9,285.8,20.7
lgv,corridor,7:5,10:11,610.8,44.2
lgv,corridor,7:5,12:13,510.8,37.0
lgv,corridor,7:5,14:15,431.56,32.0
lgv,corridor,7:5,16:17,285.29,21.3
lgv,corridor,7:5,18:19,285.8,20.7
lgv,corridor,7:5,4:6,618.6,44.7
lgv,corridor,7:5,8:9,610.29,44.8
lgv,corridor,9:8,10:11,293.6,21.3
lgv,corridor,9:8,12:13,373.76,27.8
lgv,corridor,9:8,14:15,453.0,32.8
lgv,corridor,9:8,16:17,603.0,43.6
lgv,corridor,9:8,18:19,602.49,44.2
lgv,corridor,9:8,4:6,288.46,21.3
lgv,corridor,9:8,5:7,610.8,44.2
hgv,corridor,11:10,12:13,375.82,28.3
hgv,corridor,11:10,14:15,455.06,33.3
hgv,corridor,11:10,16:17,605.06,44.1
hgv,corridor,11:10,18:19,604.55,44.7
hgv,corridor,11:10,4:6,285.2,20.6
hgv,corridor,11:10,5:7,612.86,44.7
hgv,corridor,11:10,8:9,293.0,21.2
hgv,corridor,13:12,10:11,376.53,27.2
hgv,corridor,13:12,14:15,360.49,26.1
hgv,corridor,13:12,16:17,510.49,36.9
hgv,corridor,13:12,18:19,509.98,37.5
hgv,corridor,13:12,4:6,384.33,27.8
hgv,corridor,13:12,5:7,518.29,37.4
hgv,corridor,13:12,8:9,376.02,27.8
hgv,corridor,15:14,10:11,460.49,33.3
hgv,corridor,15:14,12:13,360.49,26.1
hgv,corridor,15:14,16:17,426.53,30.8
hgv,corridor,15:14,18:19,426.02,31.4
hgv,corridor,15:14,4:6,468.29,33.8
hgv,corridor,15:14,5:7,434.33,31.4
hgv,corridor,15:14,8:9,459.98,33.9
hgv,corridor,17:16,10:11,605.06,44.1
hgv,corridor,17:16,12:13,505.06,36.9
hgv,corridor,17:16,14:15,425.82,31.9
hgv,corridor,17:16,18:19,293.0,21.2
hgv,corridor,17:16,4:6,612.86,44.7
hgv,corridor,17:16,5:7,285.2,20.6
hgv,corridor,17:16,8:9,604.55,44.7
hgv,corridor,19:18,10:11,602.4,43.5
hgv,corridor,19:18,12:13,502.4,36.3
hgv,corridor,19:18,14:15,423.16,31.3
hgv,corridor,19:18,16:17,293.0,21.2
hgv,corridor,19:18,4:6,610.2,44.1
hgv,corridor,19:18,5:7,287.86,21.2
hgv,corridor,19:18,8:9,601.89,44.1
hgv,corridor,6:4,10:11,284.69,21.2
hgv,corridor,6:4,12:13,380.96,28.3
hgv,corridor,6:4,14:15,460.2,33.3
hgv,corridor,6:4,16:17,610.2,44.1
hgv,corridor,6:4,18:19,609.69,44.7
hgv,corridor,6:4,5:7,618.0,44.6
hgv,corridor,6:4,8:9,285.2,20.6
hgv,corridor,7:5,10:11,610.2,44.1
hgv,corridor,7:5,12:13,510.2,36.9
hgv,corridor,7:5,14:15,430.96,31.9
hgv,corridor,7:5,16:17,284.69,21.2
hgv,corridor,7:5,18:19,285.2,20.6
hgv,corridor,7:5,4:6,618.0,44.6
hgv,corridor,7:5,8:9,609.69,44.7
hgv,corridor,9:8,10:11,293.0,21.2
