PID,age,gender,education,socialMediaUsage,socialMediaAcceptance,hasLicence,hasCarAccess,rideShareUsage,pedCycleFreq,rank_car,rank_ev,rank_bus,rank_motorbike,rank_lgv,rank_hgv,rank_none,tlGripe,mapUsage,mapHelp,position,speed,signals,passengers,totalStops,stopTime,duration,distance,emissionClass,vehicleType,speedFactor,UTMAcceptance,deliveryMode,busPriority,emergencyPriority,sharedPriority,evPriority,tradePriority
3493082,18-24,Male,MASTERS,WEEKLY_MULTI,7,YES,YES,RARELY,WEEKLY_MULTI,1,-1,-1,-1,-1,-1,-1,STARTSTOP,WEEKLY_ONCE,YES,5,5,5,5,5,5,5,5,5,5,5,8,BUILTIN,NA,YES,NO,NO,NO
3493201,25-39,Female,MASTERS,DAILY,3,YES,NO,WEEKLY_MULTI,WEEKLY_MULTI,-1,-1,1,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,4,4,2,1,4,2,4,4,5,4,4,6,THIRDPARTY,YES,YES,NA,YES,NO
3487387,25-39,Male,DIPLOMA,DAILY,4,YES,YES,RARELY,RARELY,1,-1,-1,-1,2,-1,-1,STARTSTOP,MONTHLY,YES,4,4,4,1,1,2,2,1,1,3,1,5,OTHER: System built in but has full security / privacy controls from either a connected smartphone or other interface.,NO,YES,NO,NO,NO
3487463,25-39,Male,MASTERS,WEEKLY_MULTI,1,NO,NO,WEEKLY_MULTI,MONTHLY,-1,-1,1,-1,-1,-1,-1,NA,RARELY,YES,1,4,4,5,1,1,1,1,1,1,1,8,NOSHARE,YES,YES,NA,YES,NO
3487468,60+,Male,DOCTORATE,DAILY,6,YES,YES,WEEKLY_ONCE,WEEKLY_MULTI,-1,1,-1,-1,-1,-1,-1,STARTSTOP,WEEKLY_ONCE,YES,4,4,4,3,4,4,4,4,5,4,3,8,APP,YES,YES,YES,YES,NO
3487469,25-39,Male,DOCTORATE,DAILY,9,NO,NO,RARELY,WEEKLY_MULTI,-1,-1,-1,1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,1,4,1,2,3,2,4,2,2,1,4,10,APP,NO,YES,NO,NO,NA
3487477,40-59,Male,DOCTORATE,MONTHLY,8,YES,YES,RARELY,RARELY,1,-1,-1,-1,-1,-1,-1,NA,WEEKLY_MULTI,YES,5,5,5,5,5,5,5,5,5,5,5,8,APP,YES,YES,NO,NO,NO
3487479,25-39,Female,MASTERS,MONTHLY,1,YES,YES,WEEKLY_MULTI,RARELY,2,-1,1,-1,-1,-1,-1,WAITING,MONTHLY,YES,1,4,2,1,1,1,1,1,2,2,5,-1,APP,NO,YES,NO,NO,NO
3487495,25-39,Male,MASTERS,DAILY,2,NO,NO,WEEKLY_MULTI,RARELY,-1,-1,1,-1,-1,-1,-1,SUDDENRED,WEEKLY_MULTI,YES,2,4,3,1,3,3,4,4,5,3,1,3,THIRDPARTY,YES,YES,YES,YES,NO
3487504,60+,Female,DOCTORATE,WEEKLY_ONCE,1,NO,YES,WEEKLY_MULTI,RARELY,1,-1,-1,-1,-1,-1,-1,NA,RARELY,NA,2,2,2,2,2,2,2,2,4,3,4,1,NOSHARE,YES,YES,YES,YES,NA
3487515,25-39,Male,DOCTORATE,MONTHLY,8,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,2,-1,1,-1,-1,-1,-1,WAITING,WEEKLY_MULTI,YES,5,5,4,2,3,3,3,3,3,3,2,6,BUILTIN,YES,YES,NA,NA,NO
